[rank 0/1] 48/48 videos | threads=198 (quota=198) | torch=198 | cuda_devices=1 | policy=gpu
Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
/usr2/tanngo/vol11/miniconda3/envs/vipe-new/lib/python3.11/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/usr2/tanngo/vol11/miniconda3/envs/vipe-new/lib/python3.11/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG16_Weights.IMAGENET1K_V1`. You can also use `weights=VGG16_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
[rank 0] models loaded in 9.6s
[rank 0] 1/48 recam1_0000 wall=3.41s cpu=39.5s gpu_busy=1.85s gpu_util=54.15% cores_busy=11.6
[rank 0] 34/48 recam1_0033 wall=2.86s cpu=26.2s gpu_busy=2.12s gpu_util=74.18% cores_busy=9.2
[rank 0] 35/48 recam1_0034 wall=2.86s cpu=24.9s gpu_busy=2.05s gpu_util=71.68% cores_busy=8.7
[rank 0] 36/48 recam1_0035 wall=2.86s cpu=25.6s gpu_busy=1.92s gpu_util=66.96% cores_busy=8.9
[rank 0] 37/48 recam1_0036 wall=2.88s cpu=25.1s gpu_busy=2.11s gpu_util=73.18% cores_busy=8.7
[rank 0] 38/48 recam1_0037 wall=2.87s cpu=25.1s gpu_busy=2.03s gpu_util=70.58% cores_busy=8.7
[rank 0] 39/48 recam1_0038 wall=2.88s cpu=26.1s gpu_busy=2.03s gpu_util=70.32% cores_busy=9.1
[rank 0] 40/48 recam1_0039 wall=2.87s cpu=25.1s gpu_busy=2.13s gpu_util=74.25% cores_busy=8.7
[rank 0] 41/48 recam1_0040 wall=2.87s cpu=26.1s gpu_busy=1.99s gpu_util=69.34% cores_busy=9.1
[rank 0] 42/48 recam1_0041 wall=2.87s cpu=25.3s gpu_busy=2.02s gpu_util=70.3% cores_busy=8.8
[rank 0] 43/48 recam1_0042 wall=2.87s cpu=25.3s gpu_busy=2.13s gpu_util=74.13% cores_busy=8.8
[rank 0] 44/48 recam1_0043 wall=2.87s cpu=26.0s gpu_busy=1.97s gpu_util=68.59% cores_busy=9.1
[rank 0] 45/48 recam1_0044 wall=2.87s cpu=25.6s gpu_busy=2.02s gpu_util=70.4% cores_busy=8.9
[rank 0] 46/48 recam1_0045 wall=2.88s cpu=27.6s gpu_busy=2.07s gpu_util=71.94% cores_busy=9.6
[rank 0] 47/48 recam1_0046 wall=2.85s cpu=24.9s gpu_busy=1.91s gpu_util=66.94% cores_busy=8.7
[rank 0] 48/48 recam1_0047 wall=2.85s cpu=25.0s gpu_busy=2.02s gpu_util=70.99% cores_busy=8.8
[rank 0] DONE 48 videos in 138.1s -> /prj/corp/airesearch/lasvegas/vol22-scratch/users/tanngo/PhD/ray_learning/speed_up_video_evaluation/results/movebench_gpufix/fork_g1/shard_0.json
